tweet_id,keyword,text,created_at,user_id,username,name,followers,verified,likes,retweets,replies,hashtags,media_count,media_info,is_reply,is_retweet
2025011786341105878,timeline,"RT @itsKenBarbie: PORTLAND, OR… we were not familiar with your game. Definitely may have been the loudest crowd yet! Vancouver, BC… you’re…",Sat Feb 21 00:56:47 +0000 2026,866953267,,Cardi B,37093310,False,0,338,0,,0,[],False,True
2024878141622104324,timeline,Five sold out shows back to back… packed to the brim!! Vancouver y’all better not break my streak. See y’all tomorrow!!! For now… where the Tim Horton’s at???,Fri Feb 20 16:05:44 +0000 2026,866953267,,Cardi B,37093310,False,48228,2600,1050,,0,[],False,False
2024878114879549908,timeline,"RT @barzfanback: “…Bitch can't do it like me, Woke up and I'm still in the lead. I know these hoes is mad It's time for hoes to gag…” - Car…",Fri Feb 20 16:05:37 +0000 2026,866953267,,Cardi B,37093310,False,0,173,0,,0,[],False,True
2024739269064216641,timeline,I’m sorry Vegas yall kinda lost …Portland went too too crazy,Fri Feb 20 06:53:54 +0000 2026,866953267,,Cardi B,37093310,False,9645,464,263,,0,[],False,False
2024692410324799988,timeline,"RT @BardiUpdatess: Cardi B’s Portland show tonight is officially SOLD OUT!

All dates on the #LittleMissDramaTour have sold out so far. htt…",Fri Feb 20 03:47:42 +0000 2026,866953267,,Cardi B,37093310,False,0,291,0,LittleMissDramaTour,0,[],False,True
2024594591199142292,timeline,Yea https://t.co/l7DfGr3nP6,Thu Feb 19 21:19:00 +0000 2026,866953267,,Cardi B,37093310,False,66703,2241,675,,1,"[{""type"": ""photo"", ""url"": ""https://t.co/l7DfGr3nP6""}]",False,False
2024585414804460017,timeline,"Sister am
I messy ? https://t.co/qxw7a0rEd0",Thu Feb 19 20:42:32 +0000 2026,866953267,,Cardi B,37093310,False,24730,1048,698,,1,"[{""type"": ""photo"", ""url"": ""https://t.co/qxw7a0rEd0""}]",False,False
2024389331545436520,timeline,RT @queen_fan0: I’M screaming !😭 @iamcardib https://t.co/gobe9Q0GfH,Thu Feb 19 07:43:22 +0000 2026,866953267,,Cardi B,37093310,False,0,285,0,,1,"[{""type"": ""video"", ""url"": ""https://t.co/gobe9Q0GfH""}]",False,True
2024221313557045652,timeline,"RT @itsKenBarbie: Los Angeles had everybody OUTSIDE… is your city up next on the #LittleMissDramaTour? 

🎟️ 🔗: https://t.co/COYPajycDT http…",Wed Feb 18 20:35:44 +0000 2026,866953267,,Cardi B,37093310,False,0,371,0,LittleMissDramaTour,0,[],False,True
2024000450920431850,timeline,"RT @thekiaforum: CARDI B.
LIVE IN LOS ANGELES FOR HER FIRST HEADLINING ARENA TOUR EVER.
KIA FORUM.
TWO NIGHTS.
SOLD OUT.

(📸: @TimothyNorri…",Wed Feb 18 05:58:06 +0000 2026,866953267,,Cardi B,37093310,False,0,541,0,,0,[],False,True
