id,keyword,user,user_name,text,created_at,likes,retweets,replies,source
2026031413728846266,#cancel,RsaTeddyboy,Teddyboy rsa,"Teddyboy accusé d'abus se*uel sur schneck

La vérité sortira bientôt sur la vérité.
#schneck #teddyboy #cancel https://t.co/akF0lchA8u",Mon Feb 23 20:28:25 +0000 2026,115,10,18,cancellation_search
2018695453118738768,#cancel,GJComley,Gilbert Comley,Calls for #impeachment are like calls to #defund and #cancel - who’s over all this sh$t?,Tue Feb 03 14:37:56 +0000 2026,0,0,0,cancellation_search
2024591601616433198,#cancel,beaniebbl,prof,they’re trying to #cancel prof,Thu Feb 19 21:07:07 +0000 2026,81,1,15,cancellation_search
2029588567362539686,#cancel,RizzleMarizzle,Toten,"@touhou_nigga @geo_ogeo im neurodivergent and a minor
#cancel touhou_fаggоt",Thu Mar 05 16:03:17 +0000 2026,3,0,1,cancellation_search
2017939285438304323,#cancel,thvguukk,sy🚬,can we mass #cancel dino 🤢🤢🤢🍅🍅🍅🍅🍅,Sun Feb 01 12:33:11 +0000 2026,0,0,1,cancellation_search
2022024278842257827,#cancel,shiriusuuu,lyn,wtf This wasnt food #cancel,Thu Feb 12 19:05:30 +0000 2026,1,0,0,cancellation_search
2028613629117862009,#cancel,Eloosiii,الوس,"#cancel this scammer 
#whatnot
#thehobby
#sportscards",Mon Mar 02 23:29:13 +0000 2026,0,0,0,cancellation_search
2018055268337119518,#cancel,UrComedyMinute,Scott Townsend,"Your Comedy Minute: YouTube Live #109 No Call, No Show #Zoom #Meeting #Cancel #NoCall #NoShow #Drinking #Live #YouTube #WebbWilder #funny #laugh #jokes #comedy #humor #story #live #stream #joke #SuperBowl #Instagram #YouTubeLive 
https://t.co/DLNMh51Cyo",Sun Feb 01 20:14:04 +0000 2026,1,0,0,cancellation_search
2020905359762751953,#cancel,btsaxr,Ari,#Cancel this guy bruh he weird,Mon Feb 09 16:59:19 +0000 2026,3,0,1,cancellation_search
2029653065599451260,#cancel,kaisaaagf,kaisa⁷,@7jeonjungkook4m j’ai pas honte de dire que je veux mettre jungkook enceinte #cancel #problematique,Thu Mar 05 20:19:34 +0000 2026,2,0,0,cancellation_search
2017751003408298070,#cancel,Ivangtv,IvanGtv,Crunch fitness is having a lot of cancellations right now #gymmembership #crunchfitness #cancel #foryou https://t.co/NNt4TQAkra,Sun Feb 01 00:05:01 +0000 2026,1,1,1,cancellation_search
2021603282020385128,#cancel,MochiluvBangtan,halalochi⁷🎀they don't know 'bout us,I HATE HERRRR LEAVE ME ALONE JEBALLLL #CANCEL MUS. #MASSUNFOLLOW MUS. MUS IS #PROBLEMATIC.,Wed Feb 11 15:12:36 +0000 2026,3,2,3,cancellation_search
2023571428990193700,#cancel,mayflowers07_,may 🪼,#cancel jizzforjin for being straight AND for being a terrible friend @jizzforjin https://t.co/SADcbOTMmj,Tue Feb 17 01:33:19 +0000 2026,5,1,2,cancellation_search
2022370535334662275,#cancel,PiispaJari,Jari Jolkkonen,Kahdeksas käsky on aina ajankohtainen. #Dekalogi #cancel,Fri Feb 13 18:01:24 +0000 2026,18,1,0,cancellation_search
2025637570198053073,#cancel,petersdarlin,logann ✰,everybody #cancel zemo,Sun Feb 22 18:23:25 +0000 2026,3,3,1,cancellation_search
2019840672828948580,#cancel,BiteMeAgain71,TruthBooth2.0 BackFromTheDead,"These bitches are absolutely insufferable!
 #Cancel #WhiteLiberalWomen

 https://t.co/f5fvPtkCXi",Fri Feb 06 18:28:37 +0000 2026,1,0,0,cancellation_search
2030112462402396320,#cancel,kismetgygy,gygy,hi guys before u all #cancel me my last post was a joke and the call was in fact coming from inside the house,Sat Mar 07 02:45:03 +0000 2026,1,0,0,cancellation_search
