id,user,user_name,text,created_at,likes,retweets,replies
2019129324558057874,iamcardib,Cardi B,Free my older family members from facebook Ai 🤖 😩,Wed Feb 04 19:21:59 +0000 2026,166354,21980,1254
2018852461096907011,iamcardib,Cardi B,"RT @itsKenBarbie: The Little Miss Drama Tour is officially just 8 days away 💖 Y’all ready? 

🔗: https://t.co/COYPajycDT https://t.co/hgksvb…",Wed Feb 04 01:01:49 +0000 2026,0,321,0
2018540768840028505,iamcardib,Cardi B,https://t.co/nF8IltG0B3,Tue Feb 03 04:23:16 +0000 2026,15524,530,368
2018523063365816569,iamcardib,Cardi B,RT @BardiUpdatess: Blossom burping Baby Touchdown via Cardi B’s Instagram story. 😭❤️ https://t.co/B52wEQaoSN,Tue Feb 03 03:12:55 +0000 2026,0,542,0
2018418636751266242,iamcardib,Cardi B,RT @BardisMedia: Cardi B turned SNL into a fashion show.😍 https://t.co/tYAU9B03vt,Mon Feb 02 20:17:58 +0000 2026,0,1470,0
2018021932436734286,iamcardib,Cardi B,RT @BardiGangUpdate: Cardi B for SNL’s “Immigrant Dad Talk Show” 😭https://t.co/KzrdWRE4Gv,Sun Feb 01 18:01:36 +0000 2026,0,1254,0
2017980939591172347,iamcardib,Cardi B,RT @spin4saint: Omg if Cardi B eating like THIS for SNL  just imagine that tour… I might have to grab a ticket or two ngl 😂🔥! https://t.co/…,Sun Feb 01 15:18:42 +0000 2026,0,2930,0
2017845744942592030,iamcardib,Cardi B,RT @BardisMedia: Cardi B performing “Bodega Baddie” on Saturday Night Live tonight.🖤(SNL) https://t.co/2g9o3bzAss,Sun Feb 01 06:21:30 +0000 2026,0,5780,0
2017832363313463715,iamcardib,Cardi B,RT @newsscardi: Cardi B for SNL. 😍😍 https://t.co/nLRdn2w7GJ,Sun Feb 01 05:28:19 +0000 2026,0,329,0
2017738415907692589,iamcardib,Cardi B,RT @BardiGangUpdate: Cardi B &amp; Marcello Hernández at NBC studios 😭 https://t.co/MrX79Z8sMO,Sat Jan 31 23:15:00 +0000 2026,0,1511,0
2017061228149969101,iamcardib,Cardi B,"RT @itsKenBarbie: ONLY TWO TICKETS to ONE person ..Tickets are selling. No hundreds of free tickets, no trivia games, no price cuts… Thank…",Fri Jan 30 02:24:06 +0000 2026,0,327,0
2017033323571273928,iamcardib,Cardi B,"RT @nbcsnl: THIS SATURDAY!
Alexander Skarsgård!
@iamcardib! https://t.co/cpKBC4wO4J",Fri Jan 30 00:33:13 +0000 2026,0,1105,0
2016346106834387246,iamcardib,Cardi B,😂😂,Wed Jan 28 03:02:28 +0000 2026,32843,1849,408
2016274761991520512,iamcardib,Cardi B,"RT @BardiUpdatess: Cardi B looking gorgeous today via Instagram. 😍 

https://t.co/LIbXERBD0K",Tue Jan 27 22:18:58 +0000 2026,0,826,0
2015909070725669201,iamcardib,Cardi B,"RT @itsKenBarbie: GAME TIME! 😤 The Little Miss Drama tour is just two weeks away! 

Which songs are you hoping to hear live? https://t.co/W…",Mon Jan 26 22:05:50 +0000 2026,0,366,0
2015635700251541963,iamcardib,Cardi B,Them boys work hard!!!! LETS GO PATSNATION❤️🤍💙 we stepping in the name of the Lord!! https://t.co/RV184kGKlL,Mon Jan 26 03:59:34 +0000 2026,10278,861,365
2015568242098495765,iamcardib,Cardi B,"RT @NFL: ""WE'RE GOING TO THE SUPER BOWL!"" - @iamcardib https://t.co/B6ZWNH0trm",Sun Jan 25 23:31:31 +0000 2026,0,2415,0
2015566436941328402,iamcardib,Cardi B,RT @itsKenBarbie: Walking into the winner’s circle like 🙂‍↕️ 🏈 https://t.co/lJqCKtqqtK,Sun Jan 25 23:24:20 +0000 2026,0,761,0
2015566400530624561,iamcardib,Cardi B,RT @BardiUpdatess: Cardi B and Stefon Diggs celebrating the Patriots NFC Championship win today in Denver. 🥹❤️ https://t.co/Vhm8VEtre6,Sun Jan 25 23:24:11 +0000 2026,0,1036,0
2015455174412611935,iamcardib,Cardi B,Yall this is Wavey😂……I’ll show yall touchdown soon ….,Sun Jan 25 16:02:13 +0000 2026,92497,3369,1222
2013707437170401338,iamcardib,Cardi B,https://t.co/at3nZjMJjx,Tue Jan 20 20:17:20 +0000 2026,47990,4828,1442
2013404888407908470,iamcardib,Cardi B,"RT @itsKenBarbie: GETTING READY                      TO MAKE HISTORY

The Little Miss Drama tour is 23 days away 💕 https://t.co/Gv90R65kr5",Tue Jan 20 00:15:07 +0000 2026,0,428,0
2013263395114373264,iamcardib,Cardi B,RT @stuncalis: 2016  https://t.co/oFovhEnWLd,Mon Jan 19 14:52:52 +0000 2026,0,1477,0
